,Hardware,Name,Price,SKU,Info,Image,Description,Power,PCIE Slot
0,CPU,Core i7-9700K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,199.99,831438,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512484_831438_01_front_thumbnail.jpg,"Equipped with Intel Turbo Boost Technology 2.0, your computer will have the power and responsiveness to help your productivity soar. Experience amazing gaming performance, seamlessly edit and share 360 video, and enjoy fantastic 4K Ultra HD entertainment all with the lightning speed data transfers of Thunderbolt 3 technology.",95,N/A
1,CPU,Core i7-9700K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,199.99,831438,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512484_831438_01_front_thumbnail.jpg,"Equipped with Intel Turbo Boost Technology 2.0, your computer will have the power and responsiveness to help your productivity soar. Experience amazing gaming performance, seamlessly edit and share 360 video, and enjoy fantastic 4K Ultra HD entertainment all with the lightning speed data transfers of Thunderbolt 3 technology.",95,N/A
2,CPU,Core i9-9900K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,299.99,831362,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512483_831362_01_front_thumbnail.jpg,"Introducing the NEW 9th Gen Intel Core desktop processors the first unlocked mainstream desktop processor. When paired with Intel Optane memory, accelerates the loading and launching of the games you play. With up to 5GHz and 16-way multitasking, take your creativity to the next level with the power you need to create, edit, and share.",95,N/A
3,CPU,Core i9-9900K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,299.99,831362,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512483_831362_01_front_thumbnail.jpg,"Introducing the NEW 9th Gen Intel Core desktop processors the first unlocked mainstream desktop processor. When paired with Intel Optane memory, accelerates the loading and launching of the games you play. With up to 5GHz and 16-way multitasking, take your creativity to the next level with the power you need to create, edit, and share.",95,N/A
4,CPU,Core i7-10700K Comet Lake 3.8GHz Eight-Core LGA 1200 Boxed Processor,319.99,105015,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623048_105015_01_front_thumbnail.jpg,"10th Gen Intel Core i7-10700K unlocked desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.",125,N/A
5,CPU,Core i7-10700K Comet Lake 3.8GHz Eight-Core LGA 1200 Boxed Processor,319.99,105015,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623048_105015_01_front_thumbnail.jpg,"10th Gen Intel Core i7-10700K unlocked desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.",125,N/A
6,CPU,Core i9-10850K Comet Lake 3.6GHz Ten-Core LGA 1200 Boxed Processor,399.99,152066,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626745_152066_01_front_thumbnail.jpg,"10th Gen Intel Core i9-10850K unlocked desktop processor special edition box. This special edition packaging includes a commemorative card inside of the box. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard. 125W.",125,N/A
7,CPU,Core i9-10850K Comet Lake 3.6GHz Ten-Core LGA 1200 Boxed Processor,399.99,152066,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626745_152066_01_front_thumbnail.jpg,"10th Gen Intel Core i9-10850K unlocked desktop processor special edition box. This special edition packaging includes a commemorative card inside of the box. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard. 125W.",125,N/A
8,CPU,Core i5-9600K Coffee Lake 3.7GHz Six-Core LGA 1151 Boxed Processor,149.99,831370,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512485_831370_01_front_thumbnail.jpg,"With the power and responsiveness of Intel Turbo Boost Technology 2.0 you can spend more time doing and less time waiting. Create, edit, and share 4K content with ease, and enjoy immersive, full-screen 4K and 360 experiences.",95,N/A
9,CPU,Core i5-9600K Coffee Lake 3.7GHz Six-Core LGA 1151 Boxed Processor,149.99,831370,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512485_831370_01_front_thumbnail.jpg,"With the power and responsiveness of Intel Turbo Boost Technology 2.0 you can spend more time doing and less time waiting. Create, edit, and share 4K content with ease, and enjoy immersive, full-screen 4K and 360 experiences.",95,N/A
